Name,Rank,,,,
Nova Southeastern University,214,,,,
Southern Illinois University--Carbondale,214,,,,
University of Montana,214,,,,
Benedictine University,220,,,,
California State University--Fresno,220,,,,
Gardner-Webb University,220,,,,
New Mexico State University,220,,,,
Shenandoah University,220,,,,
Tennessee Technological University,220,,,,
University of Massachusetts--Boston,220,,,,
University of Massachusetts--Dartmouth,220,,,,
University of Missouri--St. Louis,220,,,,
University of North Carolina--Greensboro,220,,,,
University of Southern Mississippi,220,,,,
Utah State University,220,,,,
